All Degrees Table by year
,,,,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22
School of Engineering,Bachelors,Bioengineering,"% of Total Number of Records along Degree Type Group, Major Name, School Name",2%,2%,2%,2%,3%,2%,2%,2%,2%
School of Engineering,Bachelors,Bioengineering,Number,26.0,26.0,21.0,30.0,42.0,29.0,33.0,30.0,39.0
School of Engineering,Bachelors,Computer Science & Engineering,"% of Total Number of Records along Degree Type Group, Major Name, School Name",4%,5%,5%,5%,6%,9%,9%,11%,12%
School of Engineering,Bachelors,Computer Science & Engineering,Number,43.0,49.0,56.0,62.0,81.0,129.0,143.0,199.0,221.0
School of Engineering,Bachelors,Environmental Engineering,"% of Total Number of Records along Degree Type Group, Major Name, School Name",1%,2%,2%,1%,2%,1%,1%,1%,1%
School of Engineering,Bachelors,Environmental Engineering,Number,16.0,23.0,22.0,19.0,26.0,19.0,17.0,27.0,25.0
School of Engineering,Bachelors,Materials Science & Engineering,"% of Total Number of Records along Degree Type Group, Major Name, School Name",1%,0%,1%,1%,0%,0%,1%,1%,0%
School of Engineering,Bachelors,Materials Science & Engineering,Number,10.0,5.0,8.0,10.0,5.0,6.0,8.0,10.0,3.0
School of Engineering,Bachelors,Mechanical Engineering,"% of Total Number of Records along Degree Type Group, Major Name, School Name",6%,7%,7%,9%,9%,8%,9%,9%,10%
School of Engineering,Bachelors,Mechanical Engineering,Number,60.0,76.0,80.0,119.0,115.0,120.0,133.0,162.0,191.0
School of Natural Sciences,Bachelors,Applied Mathematics,"% of Total Number of Records along Degree Type Group, Major Name, School Name",2%,2%,2%,1%,2%,1%,2%,1%,2%
School of Natural Sciences,Bachelors,Applied Mathematics,Number,25.0,23.0,20.0,19.0,27.0,18.0,31.0,25.0,35.0
School of Natural Sciences,Bachelors,Biological Sciences,"% of Total Number of Records along Degree Type Group, Major Name, School Name",21%,19%,21%,23%,24%,22%,19%,18%,17%
School of Natural Sciences,Bachelors,Biological Sciences,Number,231.0,203.0,250.0,308.0,313.0,323.0,297.0,328.0,311.0
School of Natural Sciences,Bachelors,Chemical Sciences,"% of Total Number of Records along Degree Type Group, Major Name, School Name",2%,2%,2%,3%,2%,2%,2%,2%,2%
School of Natural Sciences,Bachelors,Chemical Sciences,Number,25.0,21.0,27.0,34.0,30.0,29.0,34.0,36.0,42.0
School of Natural Sciences,Bachelors,Earth Systems Science,"% of Total Number of Records along Degree Type Group, Major Name, School Name",1%,1%,1%,1%,1%,1%,1%,1%,1%
School of Natural Sciences,Bachelors,Earth Systems Science,Number,6.0,10.0,9.0,12.0,15.0,8.0,17.0,13.0,14.0
School of Natural Sciences,Bachelors,Physics,"% of Total Number of Records along Degree Type Group, Major Name, School Name",1%,1%,1%,1%,1%,1%,1%,1%,1%
School of Natural Sciences,Bachelors,Physics,Number,6.0,7.0,8.0,8.0,10.0,8.0,10.0,19.0,13.0
"Social Sciences, Humanities and Arts",Bachelors,Anthropology,"% of Total Number of Records along Degree Type Group, Major Name, School Name",2%,1%,2%,1%,1%,1%,1%,1%,1%
"Social Sciences, Humanities and Arts",Bachelors,Anthropology,Number,18.0,15.0,19.0,17.0,14.0,11.0,14.0,15.0,16.0
"Social Sciences, Humanities and Arts",Bachelors,Cognitive Sciences,"% of Total Number of Records along Degree Type Group, Major Name, School Name",4%,7%,7%,4%,3%,4%,4%,3%,3%
"Social Sciences, Humanities and Arts",Bachelors,Cognitive Sciences,Number,46.0,70.0,77.0,53.0,43.0,60.0,61.0,61.0,62.0
"Social Sciences, Humanities and Arts",Bachelors,Critical Race and Ethnic Studies,"% of Total Number of Records along Degree Type Group, Major Name, School Name",,,,,,,0%,0%,1%
"Social Sciences, Humanities and Arts",Bachelors,Critical Race and Ethnic Studies,Number,,,,,,,4.0,9.0,21.0
"Social Sciences, Humanities and Arts",Bachelors,Economics,"% of Total Number of Records along Degree Type Group, Major Name, School Name",4%,3%,3%,2%,2%,2%,1%,1%,1%
"Social Sciences, Humanities and Arts",Bachelors,Economics,Number,42.0,32.0,37.0,31.0,31.0,23.0,17.0,27.0,24.0
"Social Sciences, Humanities and Arts",Bachelors,English,"% of Total Number of Records along Degree Type Group, Major Name, School Name",1%,1%,1%,2%,1%,1%,1%,1%,2%
"Social Sciences, Humanities and Arts",Bachelors,English,Number,6.0,8.0,14.0,22.0,19.0,20.0,19.0,26.0,32.0
"Social Sciences, Humanities and Arts",Bachelors,Global Arts,"% of Total Number of Records along Degree Type Group, Major Name, School Name",,,,,,0%,0%,0%,1%
"Social Sciences, Humanities and Arts",Bachelors,Global Arts,Number,,,,,,4.0,3.0,5.0,13.0
"Social Sciences, Humanities and Arts",Bachelors,History,"% of Total Number of Records along Degree Type Group, Major Name, School Name",2%,3%,2%,1%,1%,1%,1%,1%,1%
"Social Sciences, Humanities and Arts",Bachelors,History,Number,25.0,28.0,23.0,16.0,9.0,20.0,18.0,23.0,11.0
"Social Sciences, Humanities and Arts",Bachelors,Literatures and Cultures,"% of Total Number of Records along Degree Type Group, Major Name, School Name",2%,2%,1%,0%,,,,,
"Social Sciences, Humanities and Arts",Bachelors,Literatures and Cultures,Number,22.0,16.0,9.0,1.0,,,,,
"Social Sciences, Humanities and Arts",Bachelors,Management,"% of Total Number of Records along Degree Type Group, Major Name, School Name",12%,10%,10%,12%,13%,12%,11%,11%,10%
"Social Sciences, Humanities and Arts",Bachelors,Management,Number,130.0,106.0,122.0,161.0,164.0,170.0,167.0,202.0,180.0
"Social Sciences, Humanities and Arts",Bachelors,Philosophy,"% of Total Number of Records along Degree Type Group, Major Name, School Name",,,,,,0%,,0%,0%
"Social Sciences, Humanities and Arts",Bachelors,Philosophy,Number,,,,,,1.0,,1.0,6.0
"Social Sciences, Humanities and Arts",Bachelors,Political Science,"% of Total Number of Records along Degree Type Group, Major Name, School Name",7%,6%,6%,5%,4%,5%,4%,5%,6%
"Social Sciences, Humanities and Arts",Bachelors,Political Science,Number,71.0,58.0,69.0,65.0,46.0,75.0,65.0,97.0,107.0
"Social Sciences, Humanities and Arts",Bachelors,Psychology,"% of Total Number of Records along Degree Type Group, Major Name, School Name",21%,19%,19%,17%,15%,14%,16%,17%,14%
"Social Sciences, Humanities and Arts",Bachelors,Psychology,Number,222.0,197.0,225.0,229.0,202.0,203.0,240.0,311.0,258.0
"Social Sciences, Humanities and Arts",Bachelors,Public Health,"% of Total Number of Records along Degree Type Group, Major Name, School Name",,,1%,3%,5%,7%,8%,8%,7%
"Social Sciences, Humanities and Arts",Bachelors,Public Health,Number,,,10.0,39.0,68.0,96.0,125.0,157.0,129.0
"Social Sciences, Humanities and Arts",Bachelors,Sociology,"% of Total Number of Records along Degree Type Group, Major Name, School Name",4%,7%,5%,5%,3%,4%,5%,4%,6%
"Social Sciences, Humanities and Arts",Bachelors,Sociology,Number,44.0,71.0,64.0,62.0,43.0,55.0,80.0,75.0,107.0
"Social Sciences, Humanities and Arts",Bachelors,Spanish,"% of Total Number of Records along Degree Type Group, Major Name, School Name",0%,0%,0%,1%,0%,1%,0%,0%,0%
"Social Sciences, Humanities and Arts",Bachelors,Spanish,Number,1.0,2.0,4.0,8.0,3.0,17.0,7.0,9.0,8.0
